# ============================================================================
#  nfc_commands.csv — カードごとの文字列送出 (仕様書 F-12) のサンプル
# ============================================================================
#
#  使い方:
#    このファイルを SD カード直下に /nfc_commands.csv として置く。
#    起動時に読み込まれ、出力モードを COMMAND にしたときだけ参照される。
#    対応表に無い UID のカードは、従来どおり UID をそのまま出力する。
#
#  書式:  <UID の16進表記>,<送出する文字列>
#
#    - 行頭が # の行と空行は読み飛ばす（この行のように日本語で注釈を書ける）
#    - UID は 4 / 7 / 10 バイトのいずれか。大文字小文字は問わず、
#      区切りの ':' と '-' は無視する
#    - 最初のカンマより後ろすべてが値。したがって値にカンマを含められる
#    - 値の前後の空白は取り除く。値の内部の空白はそのまま保たれる
#    - UID が不正な行・値が空の行は、その行だけを読み飛ばす
#      （ファイル全体が無効になることはない）
#    - 同じ UID が複数回現れたら、後の行が優先される
#    - 登録できるのは 500 件まで
#
#  値に使える文字:
#    ASCII 印字可能文字 (0x20〜0x7E) のみ。日本語・絵文字・制御文字は
#    除去されるか '?' に置き換わる（設定 Non-ASCII = DROP / REPLACE）。
#    Tab と改行は値に埋め込めない。終端キー (既定 Enter) は設定で付く。
#
#  キーシーケンス (F-13):
#    設定の Key seq を ON にすると {CTRL+C} のようなトークンをキー操作として
#    送出する。第 6 節を参照。既定は OFF で、そのときは 7 文字の文字列として
#    そのまま打鍵される。
#
#  注意:
#    このファイルは平文である。SD カードを抜けば誰でも読める。
#    パスワードなど秘匿性の高い文字列を登録してはならない。
#
# ============================================================================


# ---------------------------------------------------------------------------
#  1. UID の書き方いろいろ
# ---------------------------------------------------------------------------

# 7 バイト UID (NTAG / MIFARE Ultralight など) — 区切りなし
04A2B3C4D5E680,Hello World

# 4 バイト UID (MIFARE Classic など) — コロン区切り
A3:7A:1B:DD,user@example.com

# 10 バイト UID — ハイフン区切り
04-11-22-33-44-55-66-77-88-99,ten byte uid

# 小文字の 16 進もそのまま使える
04ab12cd34ef56,lowercase uid is accepted

# UID と値の前後の空白は取り除かれる（読みやすさのために揃えてよい）
   04:1A:2B:3C:4D:5E:6F   ,   spaces around are trimmed


# ---------------------------------------------------------------------------
#  2. 値の書き方
# ---------------------------------------------------------------------------

# 最初のカンマより後ろすべてが値になるため、カンマをそのまま含められる
04C1D2E3F40510,Yamada,Taro,Sales Dept.

# 値の内部の空白は保たれる
04C1D2E3F40511,SELECT * FROM users WHERE id = 1

# ASCII の記号は一通り打鍵できる（PC 側配列に合わせて Layout=US/JIS を設定する）
# ただし Key seq=ON では '{' がトークンの開始になるため、この行は '{{' へ
# 書き換える必要がある（第 6 節を参照）
04C1D2E3F40512,!"#$%&'()*+,-./:;<=>?@[\]^_`{|}~

# JIS 配列固有のキーを含む例（Layout=JIS で正しく打てる）
04C1D2E3F40513,C:\Users\Public\Documents\report.txt


# ---------------------------------------------------------------------------
#  3. 実用例
# ---------------------------------------------------------------------------

# 社員証で社員番号を入力する
04E1F2A3B4C5D6,EMP-000123

# 定型のメール差し込み
04E1F2A3B4C5D7,support@example.com

# 業務システムの URL
04E1F2A3B4C5D8,https://example.com/inventory?loc=A-1

# 棚卸しのロケーションコード
04E1F2A3B4C5D9,LOC/WH1/A-01-03

# チャットのスラッシュコマンド（終端キー Enter でそのまま送信される）
04E1F2A3B4C5DA,/status working from office

# 検体ラベルの定型プレフィクス
